[288],[261]
[234],[295]
[219],[291]
[213],[296]
[213],[316]
[203],[322]
[199],[331]
[201],[323]
[167],[352]
[171],[355]
[197],[332]
[144],[352]
[139],[349]
[141],[353]
[142],[358]
[143],[363]
[145],[368]
[148],[372]
[152],[375]
[157],[378]
[162],[378]
[154],[386]
[145],[432]
[143],[439]
[139],[448]
[152],[502]
[150],[496]
[149],[504]
[155],[508]
[151],[505]
[152],[532]
[135],[546]
[127],[559]
[133],[548]
[145],[551]
[155],[561]
[152],[577]
[144],[591]
[157],[603]
[151],[583]
[141],[585]
[141],[594]
[128],[612]
[135],[600]
[150],[600]
[164],[614]
[169],[642]
[166],[646]
[174],[654]
[179],[664]
[187],[663]
[177],[653]
[170],[636]
[160],[646]
[177],[666]
[175],[672]
[174],[677]
[176],[682]
[179],[686]
[183],[689]
[187],[692]
[191],[695]
[198],[689]
[205],[705]
[222],[729]
[241],[759]
[241],[766]
[248],[778]
[254],[777]
[259],[778]
[263],[781]
[266],[784]
[270],[788]
[273],[791]
[274],[796]
[277],[800]
[279],[805]
[282],[810]
[284],[815]
[310],[844]
[314],[848]
[318],[851]
[321],[855]
[325],[858]
[329],[862]
[332],[865]
[336],[869]
[339],[873]
[344],[875]
[349],[875]
[353],[879]
[356],[882]
[360],[886]
[361],[892]
[362],[897]
[357],[904]
[389],[930]
[389],[937]
[428],[978]
[437],[1007]
[453],[1003]
[507],[1045]
[531],[1064]
[536],[1058]
[483],[1021]
[458],[1000]
[454],[996]
[454],[991]
[452],[986]
[448],[983]
[445],[979]
[440],[977]
[435],[974]
[431],[972]
[428],[968]
[424],[964]
[420],[961]
[417],[957]
[412],[955]
[391],[933]
[379],[924]
[376],[921]
[372],[917]
[369],[914]
[365],[910]
[363],[905]
[362],[899]
[361],[894]
[360],[889]
[358],[885]
[355],[881]
[351],[877]
[347],[875]
[341],[875]
[336],[875]
[315],[856]
[307],[843]
[280],[818]
[268],[804]
[272],[800]
[272],[794]
[271],[789]
[268],[786]
[264],[782]
[261],[778]
[257],[775]
[254],[771]
[250],[768]
[247],[764]
[242],[762]
[202],[704]
[198],[697]
[200],[692]
[200],[687]
[201],[682]
[200],[677]
[197],[672]
[193],[669]
[190],[665]
[186],[662]
[183],[658]
[179],[655]
[176],[651]
[172],[648]
[169],[643]
[169],[638]
[169],[632]
[169],[626]
[168],[621]
[164],[617]
[161],[614]
[158],[609]
[155],[605]
[152],[601]
[152],[596]
[149],[592]
[147],[587]
[144],[591]
[139],[582]
[144],[580]
[148],[577]
[152],[573]
[154],[568]
[154],[563]
[154],[557]
[155],[552]
[143],[546]
[150],[540]
[155],[549]
[157],[520]
[155],[513]
[142],[483]
[147],[482]
[147],[474]
[140],[481]
[134],[477]
[121],[455]
[124],[450]
[129],[443]
[137],[447]
[138],[438]
[131],[441]
[135],[437]
[148],[380]
[156],[381]
[150],[382]
